"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Notes","Copyright","Language","Sub-type"
"Review","Ogi DA,Jin S","Transcriptome-powered pluripotent stem cell differentiation for regenerative medicine","Cells","Cells (Basel, Switzerland)","2023","12","10","","Imai_Ozaki-lab/Review_iPSC_differentiation","","2023-05-22","","2073-4409","","http://dx.doi.org/10.3390/cells12101442;https://www.mdpi.com/2073-4409/12/10/1442;https://pubmed.ncbi.nlm.nih.gov/37408278/;https://www.ncbi.nlm.nih.gov/pubmed/37408278;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10217280","10.3390/cells12101442","37408278","PMC10217280","Pluripotent stem cells are endless sources for in vitro engineering human tissues for regenerative medicine. Extensive studies have demonstrated that transcription factors are the key to stem cell lineage commitment and differentiation efficacy. As the transcription factor profile varies depending on the cell type, global transcriptome analysis through RNA sequencing (RNAseq) has been a powerful tool for measuring and characterizing the success of stem cell differentiation. RNAseq has been utilized to comprehend how gene expression changes as cells differentiate and provide a guide to inducing cellular differentiation based on promoting the expression of specific genes. It has also been utilized to determine the specific cell type. This review highlights RNAseq techniques, tools for RNAseq data interpretation, RNAseq data analytic methods and their utilities, and transcriptomics-enabled human stem cell differentiation. In addition, the review outlines the potential benefits of the transcriptomics-aided discovery of intrinsic factors influencing stem cell lineage commitment, transcriptomics applied to disease physiology studies using patients' induced pluripotent stem cell (iPSC)-derived cells for regenerative medicine, and the future outlook on the technology and its implementation.","RNA sequencing and data analysis; differential gene expression; human stem cell differentiation; transcriptomics","","","en","Review"
"Review","Palasantzas VEJM,Tamargo-Rubio I,Le K,Slager J,Wijmenga C,Jonkers IH,Kumar V,Fu J,Withoff S","iPSC-derived organ-on-a-chip models for personalized human genetics and pharmacogenomics studies","Trends Genet.","Trends in genetics: TIG","2023","39","4","268-284","Imai_Ozaki-lab/Review_iPSC_differentiation","Elsevier BV","2023-04","2025-05-01","0168-9525","1362-4555","http://dx.doi.org/10.1016/j.tig.2023.01.002;https://linkinghub.elsevier.com/retrieve/pii/S0168952523000173;https://pubmed.ncbi.nlm.nih.gov/36746737/;https://www.ncbi.nlm.nih.gov/pubmed/36746737","10.1016/j.tig.2023.01.002","36746737","","Genome-wide association studies (GWAS) have now correlated hundreds of genetic variants with complex genetic diseases and drug efficacy. Functional characterization of these factors remains challenging, particularly because of the lack of human model systems. Molecular and nanotechnological advances, in particular the ability to generate patient-specific PSC lines, differentiate them into diverse cell types, and seed and combine them on microfluidic chips, have led to the establishment of organ-on-a-chip (OoC) platforms that recapitulate organ biology. OoC technology thus provides unique personalized platforms for studying the effects of host genetics and environmental factors on organ physiology. In this review we describe the technology and provide examples of how OoCs may be used for disease modeling and pharmacogenetic research.","iPSCs; intestine-on-a-chip; liver-on-a-chip; organ-on-a-chip; personalized medicine; pharmacogenomics; vessel-on-a-chip","","http://creativecommons.org/licenses/by-nc/4.0/","en","Review"
"Review","Suresh Babu S,Duvvuru H,Baker J,Switalski S,Shafa M,Panchalingam KM,Dadgar S,Beller J,Ahmadian Baghbaderani B","Characterization of human induced pluripotent stems cells: Current approaches, challenges, and future solutions","Biotechnol. Rep. (Amst.)","Biotechnology reports (Amsterdam, Netherlands)","2023","37","e00784","e00784","Imai_Ozaki-lab/Review_iPSC_differentiation","Elsevier BV","2023-03-24","2025-05-01","2215-017X","","http://dx.doi.org/10.1016/j.btre.2023.e00784;https://linkinghub.elsevier.com/retrieve/pii/S2215017X23000048;https://pubmed.ncbi.nlm.nih.gov/36818379/;https://www.ncbi.nlm.nih.gov/pubmed/36818379;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929203","10.1016/j.btre.2023.e00784","36818379","PMC9929203","Human induced pluripotent stem cells (iPSC) have demonstrated massive potentials for use in regenerative and personalized medicine due to their ability to expand in culture and differentiate into specialized cells with therapeutic benefits. However, in order to industrialize iPSC-derived therapies, it is necessary to address the existing challenges surrounding the analytics implemented in the manufacturing process to evaluate and monitor cell expansion, differentiation, and quality of the final products. Here, we review some of the key analytical methods used as part of identity, potency, or safety for in-process or final product release testing and highlighted the challenges and potential solutions for consideration in the Chemistry, Manufacturing and Controls (CMC) strategy for iPSC-based therapies. Some of the challenges associated with characterization and testing of iPSC-based products are related to the choice of analytical technology (to ensure fit-for-purpose), assay reliability and robustness. Automation of analytical methods may be required to reduce hands on time, and improve reliability of the methods through reducing assay variability. Indeed, we have shown that automation of analytical methods is feasible (evaluated using an ELISA based assay) and would result in more precise measurements (demonstrated by lower co-efficient of Variation and standard deviation), less hands-on time, and swift compared to a manually run assay. Therefore, in order to support commercialization of iPSC-based therapies we suggest a well-designed testing strategy to be established in the development phase while incorporating robust, reproducible, reliable, and potentially automated analytics in the manufacturing process.","Analytical methods; Assay robustness; Automation; Cell therapies; iPSCs","","http://creativecommons.org/licenses/by-nc-nd/4.0/","en","Review"
"Review","Malihi G,Nikoui V,Elson EL","A review on qualifications and cost effectiveness of induced pluripotent stem cells (IPSCs)-induced cardiomyocytes in drug screening tests","Arch. Physiol. Biochem.","Archives of physiology and biochemistry","2023","129","1","131-142","Imai_Ozaki-lab/Review_iPSC_differentiation","Informa UK Limited","2023-02","2025-05-01","1744-4160","1381-3455","http://dx.doi.org/10.1080/13813455.2020.1802600;https://www.tandfonline.com/doi/full/10.1080/13813455.2020.1802600;https://pubmed.ncbi.nlm.nih.gov/32783745/;https://www.ncbi.nlm.nih.gov/pubmed/32783745","10.1080/13813455.2020.1802600","32783745","","Human induced pluripotent stem cells (hIPSCs) have initiated a higher degree of successes in disease modelling, preclinical evaluation of drug therapy and pharmaco-toxicological testing. Since the discovery of iPSCs in 2006, many advanced techniques have been introduced to differentiate iPSCs to cardiomyocytes, which have been progressively improved. The disease models from iPSC-induced cardiomyocytes (iPSC-CM) have been successfully helping to study a variety of cardiac diseases such as long QT syndrome, drug-induced long QT, different cardiomyopathies related to mutations in mitochondria or desmosomal proteins and other rare genetic diseases. IPSC-CMs have also been used to screen the role of chemicals in cardiovascular drug discovery and individualisation of drug dosages. In this review, the quality of current procedures for characterisation and maturation of iPSC-CM lines will be discussed. Also, we will focus on time efficiency and cost of standard differentiation methods after reprogramming.","cost effectiveness; drug screening tests; iPSC-CMs; maturation","","","en","Review"
"Review","Pendse S,Vaidya A,Kale V","Clinical applications of pluripotent stem cells and their derivatives: current status and future perspectives","Regen. Med.","Regenerative medicine","2022","17","9","677-690","Imai_Ozaki-lab/Review_iPSC_differentiation","Informa UK Limited","2022-09","2025-05-01","1746-076X","1746-0751","http://dx.doi.org/10.2217/rme-2022-0045;https://www.tandfonline.com/doi/full/10.2217/rme-2022-0045;https://pubmed.ncbi.nlm.nih.gov/35703035/;https://www.ncbi.nlm.nih.gov/pubmed/35703035","10.2217/rme-2022-0045","35703035","","Pluripotent stem cells (PSCs) can differentiate into specific cell types and thus hold great promise in regenerative medicine to treat certain diseases. Hence, several studies have been performed harnessing their salutary properties in regenerative medicine. Despite several challenges associated with the clinical applications of PSCs, worldwide efforts are harnessing their potential in the regeneration of damaged tissues. Several clinical trials have been performed using PSCs or their derivatives. However, the delay in publishing the data obtained in the trials has led to a lack of awareness about their outcomes, resulting in apprehension about cellular therapies. Here, the authors review the published papers containing data from recent clinical trials done with PSCs. PSC-derived extracellular vesicles hold great potential in regenerative therapy. Since published papers containing the data obtained in clinical trials on PSC-derived extracellular vesicles are not available yet, the authors have reviewed some of the pre-clinical work done with them.","clinical trials; embryonic stem cells; extracellular vesicles; induced pluripotent stem cells; pre-clinical studies","","","en","Review"
"Review","Kurtz A,Mah N,Chen Y,Fuhr A,Kobold S,Seltmann S,Müller SC","Human pluripotent stem cell registry: Operations, role and current directions","Cell Prolif.","Cell proliferation","2022","55","8","e13238","Imai_Ozaki-lab/Review_iPSC_differentiation","Wiley","2022-08","2025-05-01","1365-2184","0960-7722","http://dx.doi.org/10.1111/cpr.13238;https://onlinelibrary.wiley.com/doi/10.1111/cpr.13238;https://pubmed.ncbi.nlm.nih.gov/35522426/;https://www.ncbi.nlm.nih.gov/pubmed/35522426;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9357359","10.1111/cpr.13238","35522426","PMC9357359","The human plutiripotent stem cell registry (hPSCreg) is a global database for human embryonic and induced pluripotent stem cells (hESC, hiPSC). The publicly accessible Registry (https://hpscreg.eu) was set up to provide a transparent resource of quality-assessed hPSC lines as well as to increase reproducibility of research and interoperability of data. OBJECTIVES: In this review, we describe the establishment of the Registry and its mission, its development into a knowledgebase for hPSC and the current status of hPSC-focussed databases. The data categories available in hPSCreg are detailed. In addition, sharing and hurdles to data sharing on a global level are described. CONCLUSIONS: An outlook is provided on the establishment of digital representatives of donors using hybrids of data and hPSC-based biological models, and how this can also be used to reposition databases as mediators between donors and researchers.","","","http://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","Zhang YX,Chen SL,Li YM,Zheng YW","Limitations and challenges of direct cell reprogramming in vitro and in vivo","Histol. Histopathol.","Histology and histopathology","2022","37","8","723-737","Imai_Ozaki-lab/Review_iPSC_differentiation","Histol Histopathol","2022-08","2025-05-01","1699-5848","0213-3911","http://dx.doi.org/10.14670/HH-18-458;https://www.hh.um.es/Abstracts/Vol_37/37_8/37_8_723.htm;https://pubmed.ncbi.nlm.nih.gov/35417038/;https://www.ncbi.nlm.nih.gov/pubmed/35417038","10.14670/HH-18-458","35417038","","Direct reprogramming, whether in vitro or in vivo, has attracted great attention because of its advantages of convenience, short-term conversion, direct targets, no immune rejection, and potential clinical applications. In addition, due to its independence from the pluripotent state, direct programming minimizes some safety concerns associated with the use of human pluripotent stem cells. However, the significant limitations of reprogrammed cells, such as poor proliferative ability, low efficiency, and immature function, need to be addressed before the clinical application potential can be expanded. Here, we review the recent achievements of direct reprogramming in 2D and 3D systems in vitro and in vivo, covering cells derived from the three germ layers from stem/progenitor cells to terminal cells, such as hepatocytes, pancreatic β cells, cardiomyocytes, endothelial cells, osteoblasts, chondrocytes, neurons, and melanocytes. Combining our lab experiences with current work, we summarize the practical and potential issues that need to be solved and the prospects of strategies for addressing the current dilemmas. Through comprehensive analyses, it is concluded that the directions for dealing with efficiency and functionality issues could be the optimization of transcription factors, the upgradation for delivery systems, the regulation of epigenetic factors and pathways, and the improvement of cellular maintenance conditions. Besides, converting cells into the progenitor state firstly and then differentiating them into the desired cell types with chemical compounds may provide an approach to obtaining functional and safe converted cells in batches with a better proliferative ability. With the emergence of more and more direct reprogramming techniques and approaches with both safety and effectiveness, it is bound to bring a new dawn for mechanism research and therapeutic applications for relevant diseases in the future.","","","","en","Review"
"Review","Dannemann M,Gallego Romero I","Harnessing pluripotent stem cells as models to decipher human evolution","FEBS J.","The FEBS journal","2022","289","11","2992-3010","Imai_Ozaki-lab/Review_iPSC_differentiation","Wiley","2022-06","2025-05-01","1742-4658","1742-464X","http://dx.doi.org/10.1111/febs.15885;https://febs.onlinelibrary.wiley.com/doi/10.1111/febs.15885;https://pubmed.ncbi.nlm.nih.gov/33876573/;https://www.ncbi.nlm.nih.gov/pubmed/33876573","10.1111/febs.15885","33876573","","The study of human evolution, long constrained by a lack of experimental model systems, has been transformed by the emergence of the induced pluripotent stem cell (iPSC) field. iPSCs can be readily established from noninvasive tissue sources, from both humans and other primates; they can be maintained in the laboratory indefinitely, and they can be differentiated into other tissue types. These qualities mean that iPSCs are rapidly becoming established as viable and powerful model systems with which it is possible to address questions in human evolution that were until now logistically and ethically intractable, especially in the quest to understand humans' place among the great apes, and the genetic basis of human uniqueness. In this review, we discuss the key lessons and takeaways of this nascent field; from the types of research, iPSCs make possible to lingering challenges and likely future directions. We provide a comprehensive overview of how the seemingly unlikely combination of iPSCs and explicit evolutionary frameworks is transforming what is possible in our understanding of humanity's past and present.","development; gene expression; human evolution; stem cells; tissue models","","http://onlinelibrary.wiley.com/termsAndConditions#vor","en","Review"
"Review","Brooks IR,Garrone CM,Kerins C,Kiar CS,Syntaka S,Xu JZ,Spagnoli FM,Watt FM","Functional genomics and the future of iPSCs in disease modeling","Stem Cell Reports","Stem cell reports","2022","17","5","1033-1047","Imai_Ozaki-lab/Review_iPSC_differentiation","Elsevier BV","2022-05-10","2025-05-01","2213-6711","","http://dx.doi.org/10.1016/j.stemcr.2022.03.019;https://linkinghub.elsevier.com/retrieve/pii/S2213671122001588;https://pubmed.ncbi.nlm.nih.gov/35487213/;https://www.ncbi.nlm.nih.gov/pubmed/35487213;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9133703","10.1016/j.stemcr.2022.03.019","35487213","PMC9133703","Induced pluripotent stem cells (iPSCs) are valuable in disease modeling because of their potential to expand and differentiate into virtually any cell type and recapitulate key aspects of human biology. Functional genomics are genome-wide studies that aim to discover genotype-phenotype relationships, thereby revealing the impact of human genetic diversity on normal and pathophysiology. In this review, we make the case that human iPSCs (hiPSCs) are a powerful tool for functional genomics, since they provide an in vitro platform for the study of population genetics. We describe cutting-edge tools and strategies now available to researchers, including multi-omics technologies, advances in hiPSC culture techniques, and innovations in drug development. Functional genomics approaches based on hiPSCs hold great promise for advancing drug discovery, disease etiology, and the impact of genetic variation on human biology.","disease modeling; drug screening; functional genomics; genetic variants; hiPSCs","","http://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","Ilieva M,Uchida S","Long noncoding RNAs in induced pluripotent stem cells and their differentiation","Am. J. Physiol. Cell Physiol.","American journal of physiology. Cell physiology","2022","322","4","C769-C774","Imai_Ozaki-lab/Review_iPSC_differentiation","American Physiological Society","2022-04-01","2025-05-01","1522-1563","0363-6143","http://dx.doi.org/10.1152/ajpcell.00059.2022;https://journals.physiology.org/doi/10.1152/ajpcell.00059.2022;https://pubmed.ncbi.nlm.nih.gov/35235428/;https://www.ncbi.nlm.nih.gov/pubmed/35235428","10.1152/ajpcell.00059.2022","35235428","","The breakthrough technology for reprogramming somatic cells into induced pluripotent stem cells (iPSCs) has created a new path for science and medicine. The iPSC technology provides a powerful tool for elucidating the mechanisms of cellular differentiation and cell fate decision as well as to study targets and pathways relevant to pathological processes. As they can be generated from any person, iPSCs are a promising resource for regenerative medicine potentiating the possibility to discover new drugs in a high-throughput screening format and treat diseases through personalized cell therapy-based strategies. However, the reprogramming process is complex, and its regulation needs fine tuning. The regulatory mechanisms of cell reprogramming and differentiation are still not elucidated, but significant results show that multiple long noncoding RNAs (lncRNAs) play essential roles. In this mini-review, we discuss the latest research on lncRNAs in iPSC stemness, neuronal, and cardiac differentiation.","differentiation; iPSC; lncRNA; stemness","","","en","Review"
